Student_ID,Study_Hours,Attendance,Assignment_Score,Internal_Marks,Previous_GPA,Extracurricular_Hours
S0497,1.2,68.1,47.7,54.6,5.04,2.7
S0498,3.9,71.0,50.7,75.5,5.76,5.3
S0499,0.9,69.9,42.8,43.2,5.26,5.6
S0500,1.8,58.2,60.3,52.7,5.1,2.3
S0501,7.0,94.6,100.0,94.0,8.24,2.9
S0502,6.1,89.0,90.3,98.8,8.82,0.0
S0503,3.2,89.2,76.0,72.4,6.23,1.6
S0504,1.8,71.7,57.6,42.4,6.01,2.4
S0505,0.5,59.1,51.3,40.1,4.35,4.2
S0506,3.5,83.6,76.2,81.1,7.57,1.9
S0507,8.9,92.2,100.0,100.0,10.0,2.9
S0508,5.3,89.3,85.4,85.9,7.45,1.3
S0509,3.5,96.9,79.2,76.1,6.75,4.4
S0510,5.3,91.2,81.0,75.0,8.25,4.9
S0511,1.7,68.8,47.5,54.4,5.4,4.9
S0512,4.0,86.7,86.3,60.9,7.08,4.0
S0513,4.7,94.1,81.3,74.4,8.28,0.6
S0514,4.3,66.1,76.6,77.2,6.5,2.6
S0515,5.9,78.4,85.3,86.5,8.01,3.1
S0516,5.1,90.6,77.1,79.1,8.28,3.1
S0517,5.7,85.8,84.7,87.9,8.4,4.2
S0518,3.3,89.4,79.9,67.3,6.78,7.1
S0519,6.1,91.9,93.5,89.2,8.27,5.8
S0520,7.4,85.2,82.9,100.0,8.14,1.8
S0521,2.8,63.1,56.6,50.4,5.46,5.5
S0522,2.9,50.7,70.5,53.9,5.84,5.4
S0523,6.9,97.3,94.2,93.9,8.89,2.2
S0524,4.2,81.2,58.2,59.1,7.15,5.9
S0525,7.0,96.3,100.0,89.6,9.46,3.6
S0526,3.7,89.9,77.1,83.7,6.56,0.9
S0527,7.1,100.0,97.5,100.0,9.02,5.0
S0528,4.7,84.9,74.7,66.5,7.6,4.5
S0529,5.0,68.6,83.8,61.5,6.9,3.5
S0530,7.3,100.0,95.1,99.3,9.87,3.9
S0531,3.8,86.1,80.9,83.5,7.49,2.4
S0532,2.8,77.6,66.6,59.5,6.46,5.3
S0533,3.7,89.0,73.3,81.2,7.88,3.9
S0534,5.3,79.4,81.5,82.4,7.0,4.4
S0535,1.7,86.2,55.2,59.2,5.95,4.8
S0536,5.6,83.2,92.0,72.5,8.11,1.5
S0537,3.5,85.9,62.5,76.2,6.5,2.0
S0538,6.6,82.2,76.8,86.8,8.53,0.0
S0539,0.5,52.6,44.8,43.8,4.0,5.2
S0540,3.1,90.2,72.4,60.2,7.09,1.3
S0541,1.5,64.4,53.5,48.8,5.77,4.3
S0542,3.0,83.6,68.5,67.1,6.71,4.8
S0543,4.9,89.8,77.8,78.8,6.91,5.3
S0544,4.2,82.1,79.3,75.4,6.72,1.4
S0545,4.0,94.5,74.8,72.8,7.65,3.9
S0546,4.2,81.2,69.1,67.0,7.15,7.7
S0547,4.9,71.2,72.6,86.7,6.02,7.8
S0548,2.7,66.9,74.9,65.3,6.55,6.2
S0549,5.8,97.6,74.2,82.3,8.43,4.7
S0550,5.7,95.7,91.0,91.8,7.91,1.8
S0551,5.2,75.1,64.9,71.5,7.95,5.6
S0552,5.5,84.5,82.0,73.0,7.59,3.7
S0553,5.0,83.0,75.8,86.9,7.31,5.2
S0554,8.2,100.0,88.7,92.6,9.83,2.6
S0555,4.3,71.7,74.7,77.7,7.78,3.6
S0556,3.9,76.0,66.8,66.7,7.61,4.4
S0557,3.1,70.3,46.0,59.5,6.48,4.5
S0558,2.6,80.8,68.7,64.0,6.53,5.1
S0559,2.3,78.8,70.3,62.1,6.43,2.7
S0560,2.9,74.1,74.0,54.0,5.72,1.0
S0561,4.4,80.7,76.9,78.9,7.51,7.6
S0562,5.1,89.9,81.8,82.1,7.49,9.5
S0563,4.6,78.2,85.6,64.0,7.41,5.0
S0564,3.1,66.4,75.2,58.5,6.11,1.1
S0565,6.1,86.3,96.7,98.5,8.49,2.3
S0566,5.8,87.3,78.4,99.1,8.19,5.1
S0567,4.2,72.8,72.6,75.4,5.55,7.0
S0568,3.3,79.4,69.9,55.7,6.72,1.3
S0569,5.5,97.5,71.6,90.2,8.5,3.7
S0570,4.8,72.7,79.1,81.0,7.46,4.4
S0571,1.9,69.6,72.1,57.8,5.6,5.9
S0572,4.4,82.3,79.6,80.0,8.0,3.2
S0573,5.0,90.9,92.6,83.5,7.92,0.6
S0574,2.9,75.2,63.7,60.2,6.5,5.4
S0575,4.8,74.0,75.0,69.7,7.76,6.5
S0576,1.9,57.9,54.0,35.0,5.51,3.8
S0577,6.9,99.7,90.0,99.8,8.6,4.9
S0578,6.7,100.0,87.8,97.6,7.84,3.0
S0579,4.0,62.3,77.3,69.8,6.37,2.1
S0580,5.2,92.0,93.3,71.5,8.25,6.3
S0581,0.5,71.7,36.7,47.8,4.82,4.9
S0582,2.4,71.1,65.7,72.7,6.32,5.1
S0583,4.0,86.8,72.0,72.8,7.23,7.3
S0584,2.6,67.1,60.7,55.6,6.52,1.7
S0585,5.8,91.6,90.3,89.1,8.09,2.8
S0586,8.1,92.0,100.0,100.0,9.64,4.3
S0587,2.4,51.2,53.4,41.8,5.67,2.8
S0588,3.0,84.4,76.6,66.0,7.27,5.7
S0589,4.9,78.7,79.9,70.2,6.68,3.6
S0590,7.4,98.3,100.0,95.9,9.02,1.8
S0591,2.3,59.3,47.5,51.5,5.99,4.1
S0592,4.9,75.0,93.9,86.4,8.07,4.4
S0593,7.8,100.0,100.0,100.0,9.58,6.1
S0594,1.5,60.6,54.8,50.3,5.1,4.9
S0595,2.2,74.6,44.4,52.7,6.27,5.0
S0596,3.7,84.5,64.0,89.7,7.37,4.7
S0597,3.6,82.3,78.7,64.4,6.67,3.6
S0598,6.0,95.9,91.3,84.6,8.57,2.4
S0599,4.9,100.0,67.5,68.8,8.52,4.6
S0600,1.3,56.2,54.7,54.9,5.86,3.3
S0601,5.4,90.1,79.4,91.3,8.33,7.7
S0602,3.5,89.0,81.0,88.4,6.97,7.0
S0603,6.8,100.0,95.1,85.3,8.93,5.4
S0604,3.4,65.4,64.8,73.1,6.56,4.8
S0605,3.4,75.3,75.0,64.8,6.5,3.8
S0606,5.5,100.0,79.4,93.4,8.36,1.2
S0607,5.9,97.8,80.9,75.9,7.95,3.5
S0608,5.3,91.6,81.7,94.9,8.56,4.2
S0609,1.5,64.8,56.3,53.8,4.8,4.5
S0610,5.5,87.4,72.7,82.8,7.76,5.0
S0611,2.6,76.4,47.5,64.6,6.25,6.0
S0612,4.9,85.3,85.6,72.4,8.51,2.5
S0613,1.9,69.2,49.3,47.6,5.47,2.5
S0614,5.3,90.5,79.9,79.1,7.65,7.2
S0615,3.0,70.2,47.3,45.7,6.02,5.7
S0616,2.2,75.9,52.1,63.0,6.71,3.1
S0617,5.8,100.0,88.7,98.7,7.17,3.8
S0618,4.9,71.6,83.1,68.9,6.83,3.8
S0619,3.4,81.3,61.2,69.1,7.95,4.1
S0620,7.1,93.8,100.0,94.7,9.23,5.0
S0621,3.7,85.4,65.1,72.4,6.49,9.6
S0622,4.6,85.8,71.1,71.0,7.42,4.4
S0623,5.0,94.8,94.1,74.7,7.92,5.5
S0624,3.4,88.9,70.9,77.0,7.29,0.3
S0625,5.3,91.8,79.2,83.0,8.83,2.9
S0626,3.5,89.4,69.1,86.0,7.18,6.7
S0627,3.8,59.5,75.3,62.8,6.12,4.9
S0628,7.0,100.0,100.0,90.2,9.39,0.0
S0629,2.6,77.1,54.4,69.4,5.91,5.5
S0630,0.5,70.7,44.1,47.4,4.49,8.2
S0631,7.4,91.4,98.6,100.0,8.27,0.0
S0632,9.1,100.0,100.0,100.0,9.45,7.3
S0633,3.8,81.9,69.7,64.0,6.53,0.0
S0634,1.0,63.9,46.4,43.0,4.52,6.1
S0635,3.9,84.2,81.0,69.8,7.22,4.0
S0636,4.0,91.7,83.7,63.4,6.75,0.0
S0637,4.2,67.1,66.5,65.4,5.35,5.0
S0638,2.5,81.7,59.4,70.7,5.8,6.5
S0639,5.5,91.3,90.2,86.7,7.88,4.8
S0640,5.4,88.8,78.9,72.6,7.7,5.3
S0641,1.8,55.6,54.5,35.0,5.94,3.1
S0642,5.8,97.1,87.1,100.0,8.07,0.0
S0643,8.2,85.4,94.2,100.0,9.72,5.5
S0644,4.8,92.7,72.4,74.8,7.73,7.8
S0645,3.9,67.9,79.1,63.7,6.63,6.5
S0646,4.2,83.9,72.7,61.4,6.85,0.0
S0647,5.6,90.6,98.3,96.4,8.08,0.7
S0648,1.4,76.8,48.0,47.4,5.22,2.1
S0649,4.8,85.2,80.4,88.5,7.62,0.5
S0650,3.8,74.5,87.6,67.6,6.66,4.1
S0651,7.8,100.0,94.6,100.0,9.07,4.9
S0652,4.2,94.6,61.0,78.1,7.91,0.9
S0653,7.5,100.0,100.0,100.0,9.52,5.7
S0654,2.5,69.6,51.6,62.2,5.77,5.3
S0655,5.6,89.2,84.3,89.3,8.11,2.8
S0656,5.1,74.3,72.7,79.1,7.38,3.6
S0657,2.9,79.1,65.7,60.5,6.04,0.0
S0658,4.8,71.1,67.2,88.8,7.24,3.3
S0659,6.7,100.0,93.6,88.4,8.62,4.0
S0660,3.9,82.7,74.9,70.5,6.6,4.4
S0661,1.5,88.2,47.4,54.6,5.16,4.8
S0662,4.5,74.9,67.7,75.4,6.96,4.5
S0663,2.9,74.3,59.2,57.1,6.53,3.4
S0664,3.9,97.5,63.4,77.2,7.07,4.6
S0665,4.4,94.8,74.1,75.9,8.69,6.2
S0666,1.4,60.3,49.3,35.0,5.57,3.8
S0667,1.6,69.6,48.6,49.9,6.08,4.7
S0668,5.4,90.2,81.2,74.4,8.33,3.6
S0669,3.6,81.9,68.5,53.8,7.66,2.6
S0670,0.5,54.7,35.2,38.6,4.2,5.2
S0671,5.9,92.7,93.3,91.8,7.16,2.8
S0672,5.0,73.6,88.1,79.7,7.16,4.8
S0673,3.2,78.5,61.7,68.7,6.81,4.1
S0674,2.1,74.8,60.7,39.8,5.97,3.3
S0675,6.0,92.0,86.4,77.4,8.47,3.3
S0676,5.1,74.2,80.6,92.5,8.04,2.9
S0677,8.8,100.0,100.0,100.0,10.0,0.4
S0678,5.3,92.8,87.3,88.1,8.34,4.8
S0679,5.2,82.7,66.1,74.2,7.27,4.5
S0680,4.2,80.7,76.4,72.6,6.63,5.9
S0681,6.0,80.3,95.0,79.5,8.76,2.8
S0682,5.6,82.5,81.5,87.3,7.96,8.2
S0683,6.8,93.7,100.0,95.3,8.5,3.2
S0684,3.6,90.4,65.3,66.7,6.76,2.1
S0685,3.7,74.5,56.0,58.2,6.43,1.8
S0686,3.6,85.6,71.2,71.5,6.64,0.2
S0687,5.9,88.7,72.8,77.1,7.65,7.4
S0688,7.2,100.0,96.7,100.0,8.49,7.0
S0689,3.7,78.8,79.0,88.6,6.72,5.3
S0690,3.7,88.3,56.2,81.7,6.81,2.0
S0691,5.1,83.6,69.4,84.8,8.15,8.0
S0692,4.1,68.2,60.4,66.5,6.87,3.2
S0693,6.2,82.8,87.0,71.6,8.35,3.4
S0694,0.5,56.2,37.9,35.0,4.26,7.2
S0695,3.0,64.8,71.7,68.9,6.06,5.4
S0696,3.1,80.2,72.6,57.5,6.7,8.8
S0697,0.5,56.8,44.9,35.0,4.93,4.5
S0698,2.8,96.0,67.8,64.9,6.72,3.1
S0699,2.9,59.5,61.2,47.4,6.38,2.7
S0700,4.1,84.7,66.5,62.9,7.2,0.0
S0701,6.5,86.9,97.3,90.0,8.84,3.4
S0702,4.1,77.9,62.2,63.0,6.76,6.5
S0703,2.6,75.1,67.2,53.2,5.36,5.3
S0704,4.4,63.5,79.4,61.9,6.92,4.0
S0705,6.4,98.5,94.3,97.2,9.03,1.8
S0706,2.7,91.6,63.9,62.9,6.9,4.5
S0707,2.9,71.1,64.3,58.0,6.38,6.2
S0708,5.5,93.4,62.2,89.9,7.97,4.9
S0709,4.1,91.8,77.3,73.4,6.99,4.4
S0710,5.7,90.5,84.6,83.2,8.38,2.2
S0711,4.5,79.6,74.1,77.4,7.43,5.9
S0712,5.8,72.1,87.3,86.0,7.47,0.0
S0713,2.6,79.6,61.0,59.2,6.79,4.8
S0714,4.5,83.9,66.4,75.5,6.95,9.7
S0715,4.1,73.6,69.4,63.0,6.65,0.7
S0716,2.3,73.0,58.2,49.2,6.69,3.5
S0717,1.7,62.9,51.7,54.6,5.76,4.0
S0718,5.7,87.7,86.6,88.6,7.94,3.0
S0719,3.9,86.7,80.3,75.0,7.23,6.3
S0720,2.7,61.9,48.7,57.5,5.93,5.0
S0721,4.3,93.4,78.3,77.0,6.27,4.3
S0722,6.5,84.6,100.0,95.5,8.03,5.8
S0723,0.5,55.0,35.0,45.1,4.54,4.0
S0724,1.8,86.1,58.9,63.6,5.86,11.0
S0725,2.8,85.2,59.7,62.7,6.64,4.3
S0726,7.1,100.0,95.2,100.0,9.64,4.4
S0727,5.0,79.6,71.0,79.3,7.37,0.2
S0728,5.9,88.5,85.2,91.5,7.72,2.8
S0729,2.4,73.3,73.5,59.4,6.18,6.5
S0730,2.5,73.2,48.8,59.3,5.9,1.1
S0731,5.3,89.0,73.3,76.5,7.84,0.0
S0732,4.6,85.4,66.4,81.9,7.32,4.1
S0733,5.5,89.0,97.7,100.0,9.01,7.0
S0734,4.2,70.0,66.2,65.5,5.83,4.1
S0735,5.0,83.4,78.9,79.1,7.43,3.3
S0736,4.8,94.9,77.3,76.9,7.78,0.0
S0737,5.9,81.1,77.3,80.4,7.67,5.0
S0738,6.0,92.0,86.0,100.0,8.73,5.5
S0739,1.6,60.1,69.0,41.6,5.62,0.1
S0740,0.5,62.0,53.4,35.9,4.71,6.5
S0741,6.3,92.3,83.6,77.9,8.39,5.7
S0742,6.6,100.0,99.9,89.2,8.83,6.5
S0743,2.7,78.5,54.9,46.6,6.23,5.3
S0744,1.2,53.1,35.0,46.8,4.82,5.4
S0745,4.7,92.1,87.2,100.0,7.58,5.1
S0746,6.2,88.1,97.8,85.5,8.45,5.9
S0747,7.7,99.2,100.0,89.6,9.77,0.0
S0748,5.4,93.4,80.8,91.8,7.53,0.7
S0749,3.8,76.6,67.9,62.2,6.36,2.4
S0750,2.9,83.4,70.3,73.7,5.73,3.7
S0751,4.5,78.2,77.6,71.2,7.62,4.9
S0752,4.0,76.2,66.9,63.8,7.0,4.7
S0753,2.7,68.1,46.0,55.8,6.25,6.5
S0754,8.2,100.0,100.0,100.0,9.04,6.5
S0755,7.7,100.0,100.0,100.0,10.0,2.1
S0756,6.5,100.0,84.5,90.6,8.55,4.5
S0757,2.8,90.4,70.9,63.5,6.74,2.1
S0758,6.0,100.0,93.2,80.8,8.95,3.6
S0759,5.7,82.6,89.5,86.2,7.49,4.7
S0760,5.3,90.4,89.9,68.5,7.69,0.0
S0761,6.7,87.9,86.9,88.9,8.71,9.3
S0762,5.6,84.9,71.0,89.7,9.27,5.2
S0763,5.8,87.3,81.6,88.1,8.28,2.7
S0764,5.6,82.4,90.5,87.6,8.64,8.2
S0765,5.1,79.2,74.5,77.6,8.11,3.2
S0766,1.3,64.4,42.8,55.5,5.37,4.3
S0767,4.7,75.0,60.0,80.9,6.77,2.9
S0768,3.5,86.6,83.4,72.2,7.39,7.6
S0769,2.2,62.9,61.0,59.6,4.97,3.8
S0770,7.5,100.0,100.0,100.0,10.0,4.3
S0771,7.6,99.6,100.0,98.7,9.46,6.6
S0772,6.9,100.0,100.0,86.8,7.84,5.3
S0773,5.0,76.1,75.0,79.4,7.25,3.9
S0774,6.9,100.0,95.5,100.0,9.32,6.4
S0775,4.5,95.2,75.3,87.3,7.55,9.6
S0776,4.9,89.9,100.0,72.0,8.02,4.7
S0777,2.5,61.1,60.7,46.8,5.39,4.3
S0778,5.2,91.2,78.8,86.1,7.33,4.4
S0779,4.6,75.6,78.1,72.8,7.18,6.9
S0780,2.2,84.1,51.3,43.2,6.16,2.7
S0781,4.4,91.7,89.1,79.8,7.35,3.4
S0782,4.4,85.0,69.7,59.5,7.87,0.6
S0783,7.7,82.5,100.0,90.4,8.63,1.4
S0784,6.1,85.8,96.0,98.0,8.39,2.9
S0785,4.5,91.3,80.8,92.0,7.59,3.9
S0786,4.9,98.6,83.3,73.0,7.26,7.9
S0787,4.6,95.5,79.3,76.5,7.1,5.2
S0788,4.1,68.5,68.9,68.2,6.79,2.0
S0789,2.6,76.0,55.5,72.9,7.04,2.4
S0790,4.2,92.5,72.4,71.8,7.7,7.0
S0791,3.2,62.0,72.7,55.0,5.34,6.5
S0792,2.2,71.4,56.0,67.5,4.48,4.1
S0793,5.4,93.0,78.2,81.4,8.4,3.0
S0794,5.2,86.5,77.2,86.7,7.75,6.5
S0795,1.3,49.0,53.3,35.0,5.33,1.8
S0796,4.3,80.7,78.8,71.2,6.77,4.9
S0797,6.3,92.8,95.0,77.4,8.67,9.0
S0798,6.4,95.1,89.8,83.7,9.01,4.5
S0799,6.3,91.0,95.0,97.2,8.3,2.3
S0800,4.6,81.4,70.5,74.4,7.15,4.9
S0801,3.0,75.5,60.9,59.1,6.37,3.0
S0802,2.5,77.3,68.2,53.0,6.43,0.9
S0803,5.1,86.0,87.6,78.4,7.73,5.5
S0804,5.2,85.4,73.0,82.8,8.19,6.5
S0805,6.8,99.7,89.1,100.0,8.76,3.3
S0806,6.5,79.6,89.4,67.0,7.69,3.2
S0807,4.3,87.9,88.9,67.9,8.23,1.9
S0808,2.3,71.6,41.6,56.5,5.62,3.7
S0809,3.9,81.9,73.4,69.5,6.76,2.8
S0810,4.9,96.0,70.5,84.7,7.84,1.8
S0811,4.1,65.2,63.4,69.0,6.74,8.2
S0812,3.5,61.0,59.8,58.3,6.07,5.0
S0813,5.0,90.2,77.1,76.0,7.75,5.3
S0814,3.6,79.5,64.0,65.3,6.76,5.9
S0815,3.4,79.7,66.8,74.9,6.75,5.7
S0816,5.1,84.2,75.4,73.3,6.6,3.1
S0817,3.8,86.6,59.6,70.2,7.9,4.6
S0818,4.9,96.0,88.1,83.3,7.83,3.4
S0819,5.0,92.3,87.3,93.6,8.09,5.0
S0820,2.4,70.3,64.7,53.8,5.34,4.8
S0821,3.6,60.8,51.6,69.6,6.12,3.2
S0822,7.1,100.0,100.0,100.0,8.81,1.1
S0823,2.4,83.4,66.4,59.4,6.92,4.3
S0824,0.7,67.9,36.8,41.2,4.72,3.6
S0825,1.1,57.0,45.6,40.2,5.29,0.0
S0826,4.6,91.4,77.0,75.6,7.28,5.1
S0827,4.6,93.1,93.1,85.1,7.42,6.1
S0828,4.3,97.8,93.1,79.6,7.49,9.6
S0829,6.7,90.2,79.3,94.6,9.23,3.1
S0830,0.5,59.0,61.4,35.0,4.0,2.8
S0831,5.2,96.0,76.4,76.1,7.44,1.6
S0832,7.3,100.0,100.0,100.0,8.35,4.5
S0833,2.5,62.8,64.0,52.7,5.29,4.4
S0834,3.8,84.6,63.2,64.2,6.66,2.2
S0835,3.1,82.1,69.7,76.2,5.89,3.6
S0836,2.9,76.1,61.7,63.4,6.0,0.0
S0837,3.9,83.5,75.9,75.3,6.14,6.0
S0838,7.1,98.1,99.1,96.7,8.6,2.3
S0839,7.8,100.0,100.0,100.0,10.0,3.9
S0840,3.9,73.3,69.4,66.2,6.96,0.9
S0841,7.9,100.0,100.0,93.5,9.63,2.7
S0842,4.6,85.5,85.3,75.3,6.98,3.4
S0843,7.7,100.0,100.0,100.0,8.72,4.0
S0844,4.3,70.5,77.1,84.6,6.43,5.1
S0845,4.7,74.6,69.7,74.7,7.23,7.2
S0846,5.2,70.6,68.6,57.1,7.76,5.6
S0847,10.0,100.0,100.0,100.0,10.0,6.1
S0848,6.0,84.1,81.5,100.0,8.45,7.2
S0849,3.2,73.9,70.6,69.8,6.12,5.3
S0850,6.2,100.0,99.8,86.0,8.68,3.9
S0851,3.8,75.3,67.8,72.5,6.66,6.2
S0852,3.6,81.8,80.5,62.2,6.76,6.4
S0853,6.1,92.1,100.0,78.5,9.34,5.4
S0854,4.6,91.4,79.9,74.9,6.79,0.8
S0855,5.0,92.3,74.8,81.9,7.73,2.1
S0856,4.5,78.9,87.3,58.8,7.8,3.4
S0857,5.1,87.1,80.3,71.2,7.1,5.7
S0858,5.3,99.0,85.9,85.2,7.85,4.0
S0859,1.0,67.6,44.5,41.8,4.9,6.5
S0860,5.7,79.6,75.9,85.6,7.78,6.9
S0861,2.7,80.3,50.7,51.5,5.64,6.6
S0862,1.9,59.7,56.6,54.8,5.67,6.7
S0863,4.4,97.1,72.0,68.8,7.94,1.7
S0864,4.7,95.1,100.0,92.7,7.95,5.1
S0865,3.3,80.1,57.4,51.2,6.23,2.7
S0866,6.0,95.4,79.0,80.5,8.47,0.4
S0867,2.1,68.6,59.1,56.4,5.32,3.4
S0868,3.8,86.7,83.5,84.0,6.9,6.9
S0869,3.4,75.3,66.7,67.4,7.57,5.0
S0870,4.4,86.6,80.4,79.8,7.43,8.4
S0871,5.0,95.9,67.5,82.4,7.39,4.4
S0872,2.7,69.1,53.9,49.3,6.13,9.4
S0873,5.8,87.3,77.1,81.5,7.52,4.4
S0874,4.6,74.9,59.1,63.5,6.66,4.0
S0875,1.1,55.0,45.6,35.0,4.4,1.2
S0876,1.0,47.4,35.0,41.9,4.42,6.4
S0877,4.5,91.4,66.9,68.2,7.96,2.9
S0878,4.1,98.9,72.4,79.3,7.79,2.6
S0879,4.3,96.7,71.0,67.2,7.82,6.8
S0880,4.4,70.1,75.1,72.9,6.5,6.5
S0881,4.9,94.0,83.5,77.1,7.58,6.5
S0882,6.2,100.0,98.8,100.0,8.77,3.2
S0883,2.5,68.9,64.0,58.8,5.66,3.9
S0884,2.4,73.3,67.4,66.6,5.87,3.9
S0885,2.5,55.1,54.7,46.2,5.82,5.7
S0886,5.0,90.5,83.4,81.2,7.64,7.4
S0887,6.7,88.9,96.7,84.8,8.75,4.8
S0888,3.7,82.1,71.0,65.6,7.63,8.3
S0889,0.5,46.9,35.3,35.0,4.28,6.0
S0890,1.4,71.5,48.5,43.5,5.99,3.5
S0891,3.0,85.2,59.0,54.9,6.87,5.8
S0892,3.5,71.9,69.1,52.9,5.88,7.8
S0893,3.8,70.4,66.4,47.0,6.15,8.4
S0894,4.6,66.0,66.4,61.8,6.58,6.6
S0895,3.9,79.2,65.3,74.7,6.57,4.1
S0896,6.4,91.1,81.1,78.0,8.48,3.5
S0897,3.3,63.7,70.0,49.3,6.5,5.3
S0898,2.9,79.8,64.5,77.0,7.02,7.7
S0899,5.4,86.1,75.4,76.9,8.0,5.0
S0900,1.7,58.7,56.6,50.2,5.1,5.0
S0901,5.2,84.2,76.2,85.4,6.8,4.1
S0902,4.7,95.7,68.7,85.3,7.79,3.3
S0903,4.2,88.8,83.3,62.5,7.36,3.6
S0904,7.4,100.0,95.5,98.6,9.33,4.3
S0905,3.4,83.9,64.6,54.0,7.73,7.8
S0906,8.2,96.8,100.0,100.0,10.0,3.5
S0907,4.1,82.9,81.8,59.1,7.48,4.1
S0908,2.2,72.5,57.0,46.7,5.45,2.1
S0909,4.6,81.5,66.4,66.9,7.14,5.6
S0910,2.6,77.3,64.9,47.2,6.15,7.0
S0911,3.1,69.9,58.9,71.9,5.96,7.6
S0912,5.2,93.9,98.3,100.0,8.21,4.4
S0913,5.5,96.0,85.7,82.1,8.34,5.3
S0914,3.4,52.0,42.0,46.9,5.49,3.7
S0915,6.3,100.0,95.1,74.8,9.23,5.2
S0916,6.6,70.1,100.0,84.0,8.15,4.7
S0917,7.1,95.0,100.0,94.5,8.21,4.1
S0918,5.5,99.9,100.0,81.5,8.24,4.3
S0919,7.0,96.9,88.0,98.4,9.09,5.0
S0920,1.1,51.5,51.2,44.1,5.23,3.4
S0921,3.9,71.7,62.9,69.9,6.61,3.5
S0922,2.9,84.9,66.8,61.6,6.95,7.8
S0923,4.7,69.0,63.3,63.3,7.19,10.0
S0924,3.5,89.0,64.6,74.5,6.36,1.4
S0925,4.2,82.7,67.9,72.7,6.54,1.2
S0926,7.9,94.6,100.0,100.0,9.9,1.9
S0927,4.2,77.9,78.5,77.4,7.59,3.8
S0928,5.2,80.3,82.3,68.0,7.81,6.0
S0929,4.1,90.3,63.6,62.5,7.98,5.3
S0930,4.6,92.4,76.3,72.6,8.12,4.4
S0931,4.5,69.6,66.3,62.4,7.32,5.2
S0932,5.3,86.2,88.9,87.6,7.43,2.5
S0933,6.6,89.8,100.0,94.8,9.38,3.5
S0934,7.5,100.0,100.0,100.0,9.55,4.0
S0935,5.1,76.2,71.7,79.9,7.29,0.5
S0936,5.6,100.0,65.3,89.2,8.02,1.4
S0937,2.4,72.3,44.2,66.3,6.11,1.5
S0938,4.3,73.6,83.4,74.6,6.27,5.7
S0939,6.2,89.1,85.7,89.3,8.69,4.5
S0940,6.1,87.1,81.4,99.1,7.82,5.3
S0941,4.9,75.8,89.5,76.3,7.53,0.0
S0942,6.1,95.4,99.9,87.6,8.25,0.7
S0943,5.4,79.2,80.9,73.3,7.59,5.5
S0944,6.7,78.3,87.1,94.6,8.01,0.0
S0945,5.0,84.7,78.5,89.0,7.58,6.7
S0946,3.9,64.9,68.3,64.4,7.41,0.0
S0947,5.1,81.9,92.2,89.3,8.25,5.9
S0948,0.5,52.8,43.3,35.0,4.66,2.0
S0949,5.2,81.3,85.7,78.8,7.64,6.3
S0950,0.5,79.0,55.9,44.5,5.54,11.1
S0951,1.4,66.9,40.4,41.8,5.83,0.0
S0952,5.3,92.1,89.5,100.0,7.62,5.5
S0953,5.4,74.2,77.0,77.8,7.53,0.0
S0954,2.4,66.6,36.6,51.5,5.02,4.9
S0955,3.2,79.2,48.6,64.7,7.09,3.5
S0956,7.0,90.6,86.5,78.8,9.74,4.3
S0957,3.6,87.9,74.9,63.9,7.05,2.0
S0958,8.5,98.4,100.0,100.0,8.87,5.7
S0959,4.5,82.4,76.8,69.6,7.6,0.8
S0960,5.2,84.1,96.5,73.8,7.34,6.7
S0961,7.4,100.0,90.0,100.0,8.98,3.1
S0962,4.7,80.7,76.3,86.5,7.69,0.9
S0963,2.7,71.7,62.5,62.6,6.23,7.5
S0964,4.3,81.7,67.9,69.3,6.98,3.9
S0965,4.4,78.0,74.0,70.9,6.89,8.2
S0966,2.0,74.6,43.4,48.2,5.91,6.7
S0967,4.0,84.4,83.9,63.9,6.95,2.2
S0968,3.2,76.2,59.0,54.8,5.98,3.8
S0969,6.2,91.1,100.0,84.3,8.26,4.3
S0970,4.6,92.5,78.1,69.8,7.76,7.4
S0971,4.0,79.8,79.4,57.7,6.92,5.0
S0972,4.3,81.1,73.3,74.6,6.56,4.4
S0973,4.9,88.4,79.4,81.2,8.13,3.6
S0974,5.6,100.0,82.8,100.0,7.11,3.9
S0975,2.7,62.1,58.6,50.2,5.68,6.9
S0976,2.6,80.7,64.3,63.0,6.03,4.0
S0977,6.5,79.9,82.4,90.7,8.36,3.1
S0978,3.8,82.5,69.2,67.3,7.19,2.8
S0979,1.9,83.9,53.0,62.7,6.54,2.8
S0980,5.3,94.2,100.0,90.1,7.71,0.9
S0981,5.3,91.5,82.8,86.0,8.25,2.3
S0982,1.7,63.4,63.7,47.0,5.51,7.3
S0983,4.9,87.8,78.0,76.3,6.9,3.5
S0984,5.8,90.7,88.8,75.7,9.08,5.5
S0985,5.2,82.0,69.4,72.9,7.02,0.0
S0986,5.6,89.2,81.4,79.9,8.28,5.3
S0987,2.0,71.6,56.6,44.2,5.92,3.6
S0988,5.1,81.7,92.0,82.2,7.74,2.9
S0989,4.0,74.5,71.3,77.9,6.62,4.4
S0990,3.6,67.5,76.6,56.6,6.87,2.9
S0991,6.1,97.9,95.3,92.8,7.83,0.0
S0992,7.2,100.0,100.0,90.8,9.12,6.0
S0993,7.7,100.0,100.0,100.0,9.19,4.5
S0994,6.9,100.0,100.0,91.4,8.69,3.3
